Sid,Eid,eventA,eventB,eventC
1,1,87.32,58.2,32.93
1,2,37.8,68.16,59.57
1,3,70.23,-3.69,34.04
1,4,60.76,33.86,35.85
1,5,85.62,60.74,65.74
2,1,57.83,98.67,104.43
2,2,32.44,40.42,40.76
2,3,-24.81,63.97,45.93
2,4,34.76,57.89,53.92
2,5,64.45,49.54,44.41
3,1,-8.63,78.67,49.62
3,2,53.93,86.0,35.65
3,3,130.7,71.88,33.92
3,4,43.1,67.92,32.56
3,5,59.37,27.62,23.42
4,1,13.86,44.09,65.93
4,2,54.52,53.13,69.47
4,3,65.35,37.78,83.04
4,4,13.62,-3.29,23.58
4,5,29.0,62.76,47.58
5,1,20.39,75.4,-17.36
5,2,25.09,35.29,57.72
5,3,60.92,60.06,62.64
5,4,22.02,55.15,68.02
5,5,55.42,87.66,43.61
6,1,3.09,57.28,50.91
6,2,9.06,47.05,69.86
6,3,74.54,61.76,24.72
6,4,28.83,78.36,-0.94
6,5,43.26,47.15,57.56
7,1,38.84,76.42,119.99
7,2,69.04,-15.96,60.91
7,3,47.6,29.48,65.96
7,4,34.24,46.79,69.43
7,5,42.76,31.73,40.68
8,1,76.87,20.51,87.5
8,2,95.07,45.78,61.79
8,3,81.41,56.53,54.16
8,4,30.88,69.94,16.41
8,5,67.17,2.92,48.01
9,1,112.12,37.71,23.63
9,2,81.8,61.21,57.99
9,3,12.6,-23.38,0.87
9,4,33.66,58.06,5.41
9,5,57.35,52.42,111.37
10,1,45.2,45.56,56.14
10,2,6.85,79.5,41.98
10,3,56.89,54.57,-1.15
10,4,53.61,40.25,0.89
10,5,25.7,48.66,58.94
11,1,30.35,49.64,-9.53
11,2,36.37,-6.66,128.06
11,3,55.49,35.19,11.84
11,4,77.63,55.63,35.17
11,5,87.26,45.77,70.08
12,1,59.24,21.33,7.33
12,2,50.49,10.64,53.51
12,3,35.96,70.78,-5.13
12,4,23.48,125.77,73.05
12,5,24.7,55.34,107.96
13,1,17.13,34.97,53.24
13,2,77.2,63.9,101.01
13,3,64.41,8.41,69.91
13,4,64.27,107.99,22.44
13,5,82.14,76.91,-7.12
14,1,50.96,44.26,62.41
14,2,31.5,66.33,28.28
14,3,97.3,45.73,68.11
14,4,26.19,91.51,54.61
14,5,63.97,112.18,46.34
15,1,80.95,-3.0,94.45
15,2,54.93,86.68,65.45
15,3,61.63,50.8,18.72
15,4,114.72,67.86,27.85
15,5,66.35,83.49,41.23
16,1,57.22,19.18,-6.41
16,2,90.14,85.07,82.77
16,3,27.08,25.19,34.35
16,4,70.47,26.83,33.95
16,5,64.21,13.37,46.28
17,1,46.87,48.94,78.93
17,2,76.64,45.7,79.71
17,3,58.0,47.38,33.48
17,4,5.62,-1.64,46.29
17,5,49.07,83.88,12.47
18,1,45.82,4.84,9.3
18,2,79.67,49.2,34.57
18,3,-3.9,34.82,67.59
18,4,82.8,79.63,19.09
18,5,96.76,60.27,57.93
19,1,102.62,75.92,19.13
19,2,36.66,17.3,40.43
19,3,44.62,110.17,42.26
19,4,16.78,59.95,22.9
19,5,49.53,84.01,49.87
20,1,29.03,11.57,52.21
20,2,81.34,8.23,28.0
20,3,47.15,18.53,74.36
20,4,33.3,61.98,134.75
20,5,92.61,74.06,26.86
21,1,79.93,70.56,92.41
21,2,59.32,15.66,64.88
21,3,15.77,51.91,45.02
21,4,20.18,62.45,15.46
21,5,74.56,48.03,31.86
22,1,14.58,74.96,60.17
22,2,60.53,43.05,58.23
22,3,72.32,33.39,-2.49
22,4,65.79,73.66,76.86
22,5,-11.98,32.75,-1.59
23,1,34.72,64.49,62.6
23,2,-6.83,17.35,104.65
23,3,32.3,28.53,16.57
23,4,97.41,47.67,45.79
23,5,108.57,99.74,48.67
24,1,60.25,84.44,42.61
24,2,88.7,38.17,79.62
24,3,132.26,85.44,8.15
24,4,79.67,81.57,68.75
24,5,55.75,70.49,61.19
25,1,90.41,80.62,55.14
25,2,19.39,109.53,6.49
25,3,41.83,59.77,61.88
25,4,77.41,21.81,73.98
25,5,112.4,29.36,48.86
26,1,76.47,23.55,39.3
26,2,61.34,101.64,36.27
26,3,62.63,20.36,80.33
26,4,-0.03,84.22,110.19
26,5,56.5,24.29,92.09
27,1,142.93,132.42,8.41
27,2,71.7,48.57,61.12
27,3,18.55,142.18,48.22
27,4,29.1,41.23,-12.14
27,5,53.14,29.56,77.0
28,1,15.82,-8.75,126.37
28,2,19.18,57.75,83.98
28,3,-9.27,47.44,46.11
28,4,78.48,70.11,10.07
28,5,41.42,90.76,39.04
29,1,23.2,107.16,49.32
29,2,60.99,85.14,89.32
29,3,61.25,-1.01,86.51
29,4,54.31,10.3,1.24
29,5,78.23,96.49,63.9
30,1,74.21,-2.23,69.67
30,2,45.14,81.94,84.42
30,3,-14.62,73.05,42.74
30,4,56.92,64.34,64.59
30,5,53.8,51.98,56.26
31,1,82.77,38.7,49.35
31,2,24.19,53.19,97.42
31,3,43.72,31.35,56.99
31,4,27.57,-24.21,27.15
31,5,85.43,68.42,19.1
32,1,48.58,17.68,51.43
32,2,41.88,52.26,77.9
32,3,66.19,71.81,20.51
32,4,58.14,-3.39,55.53
32,5,18.74,91.32,86.67
33,1,39.35,72.72,36.0
33,2,87.05,29.96,119.02
33,3,49.06,93.46,1.98
33,4,64.78,42.54,36.93
33,5,14.09,37.75,61.76
34,1,49.71,34.51,54.52
34,2,86.88,67.01,56.4
34,3,54.96,32.35,36.83
34,4,58.46,38.77,41.39
34,5,51.46,9.69,60.95
35,1,81.33,33.2,24.8
35,2,97.26,8.07,59.03
35,3,41.16,42.25,40.92
35,4,-15.42,111.05,27.62
35,5,42.98,82.31,53.7
36,1,5.11,23.4,30.2
36,2,-20.4,52.21,70.38
36,3,52.98,24.2,56.85
36,4,24.66,31.35,2.39
36,5,31.06,-0.36,23.58
37,1,45.97,85.79,43.0
37,2,41.98,27.84,17.82
37,3,33.59,61.35,41.76
37,4,94.32,33.26,-4.87
37,5,79.32,38.41,33.78
38,1,106.65,76.13,19.78
38,2,45.29,37.11,13.72
38,3,23.21,58.22,41.22
38,4,54.69,77.43,111.29
38,5,38.83,80.35,32.3
39,1,24.37,14.09,5.88
39,2,60.83,73.78,42.84
39,3,30.41,48.94,60.77
39,4,76.81,63.83,20.84
39,5,103.84,-0.37,19.24
40,1,55.9,53.99,60.24
40,2,80.93,32.67,90.15
40,3,91.3,15.96,57.17
40,4,77.26,63.0,100.55
40,5,40.4,64.17,49.81
41,1,29.32,68.26,52.89
41,2,100.32,51.71,75.08
41,3,77.15,24.49,89.68
41,4,100.89,33.42,12.49
41,5,78.51,89.17,18.47
42,1,102.32,48.58,82.12
42,2,58.24,65.28,99.12
42,3,47.21,70.34,75.18
42,4,19.59,81.49,36.45
42,5,60.58,86.74,40.14
43,1,61.36,19.92,62.7
43,2,64.0,115.3,68.4
43,3,48.15,68.83,110.91
43,4,26.01,3.91,45.78
43,5,54.76,75.0,55.63
44,1,43.65,24.24,84.23
44,2,96.01,18.21,9.53
44,3,27.5,73.69,34.89
44,4,13.74,45.55,53.06
44,5,32.72,60.67,49.27
45,1,31.32,46.24,43.37
45,2,76.08,4.76,29.6
45,3,38.23,20.21,71.76
45,4,54.26,23.7,78.77
45,5,74.66,17.11,11.68
46,1,103.18,16.93,131.42
46,2,41.34,45.27,44.74
46,3,79.99,55.16,37.81
46,4,44.86,47.45,20.51
46,5,-19.72,44.99,69.47
47,1,-2.19,49.27,36.77
47,2,59.06,105.62,28.2
47,3,83.66,36.37,62.13
47,4,30.85,43.87,49.93
47,5,72.57,101.68,-10.0
48,1,43.77,34.5,28.78
48,2,34.33,53.65,45.94
48,3,-11.73,113.59,17.09
48,4,104.76,36.36,74.95
48,5,75.25,41.17,81.27
49,1,57.86,14.12,79.56
49,2,85.89,61.82,94.91
49,3,61.84,35.11,72.25
49,4,63.33,20.19,62.64
49,5,82.44,22.23,75.81
50,1,94.09,64.01,12.05
50,2,75.81,89.29,40.46
50,3,8.34,62.73,42.08
50,4,96.38,76.4,-9.91
50,5,74.91,57.38,53.3
51,1,32.88,13.08,8.59
51,2,24.49,70.88,29.82
51,3,78.18,59.49,34.52
51,4,54.51,30.16,51.17
51,5,42.46,80.69,68.69
52,1,51.64,23.08,15.93
52,2,86.42,77.39,60.33
52,3,85.44,23.99,63.42
52,4,-1.12,60.1,27.34
52,5,24.32,55.2,60.95
53,1,15.95,72.06,54.89
53,2,40.16,62.46,61.31
53,3,52.42,35.97,55.75
53,4,72.1,52.28,55.54
53,5,74.05,92.03,33.71
54,1,45.2,79.57,59.21
54,2,20.47,74.23,86.47
54,3,42.41,61.0,31.64
54,4,78.93,18.65,36.95
54,5,24.27,41.88,70.99
55,1,65.16,54.4,61.02
55,2,43.74,57.27,47.81
55,3,29.35,98.8,61.06
55,4,56.76,32.9,41.4
55,5,66.3,81.43,12.72
56,1,86.22,52.63,27.77
56,2,43.32,24.91,-20.42
56,3,10.14,61.01,67.73
56,4,65.33,73.8,70.63
56,5,55.79,62.64,29.31
57,1,61.32,-1.02,126.18
57,2,45.98,74.79,78.41
57,3,-9.27,55.08,61.51
57,4,49.77,75.31,52.21
57,5,103.59,73.27,65.68
58,1,38.41,81.72,71.3
58,2,73.16,76.59,28.26
58,3,63.46,38.99,4.95
58,4,69.48,55.4,30.62
58,5,127.74,20.82,52.45
59,1,68.29,20.01,85.58
59,2,65.03,-11.91,27.42
59,3,34.92,40.32,6.41
59,4,68.3,7.41,60.58
59,5,69.36,73.08,33.84
60,1,53.44,114.92,51.54
60,2,50.41,5.54,85.54
60,3,59.56,38.27,117.22
60,4,30.09,59.3,27.58
60,5,81.18,74.05,4.02
61,1,34.53,77.23,46.11
61,2,40.38,33.38,103.76
61,3,49.49,45.22,65.33
61,4,65.38,47.16,34.69
61,5,86.91,54.45,0.99
62,1,87.78,66.77,71.79
62,2,56.02,71.12,9.73
62,3,5.49,79.39,56.25
62,4,24.45,56.41,80.24
62,5,26.83,72.02,76.21
63,1,60.1,25.53,71.19
63,2,82.65,5.43,87.36
63,3,83.82,73.0,72.66
63,4,51.85,84.89,42.97
63,5,43.51,25.07,28.08
64,1,45.26,66.8,46.3
64,2,57.44,29.11,31.6
64,3,30.04,-14.57,66.31
64,4,57.37,51.97,-3.76
64,5,70.28,113.54,72.83
65,1,51.68,11.48,62.49
65,2,43.1,40.22,58.37
65,3,106.44,114.52,80.42
65,4,-0.56,20.66,61.52
65,5,49.77,76.85,26.16
66,1,38.29,64.9,80.63
66,2,23.4,43.18,48.87
66,3,88.63,98.23,9.47
66,4,78.57,-18.06,29.67
66,5,35.17,42.13,50.47
67,1,61.87,61.64,28.45
67,2,45.94,24.39,49.4
67,3,31.54,103.02,62.17
67,4,43.19,1.74,52.64
67,5,99.44,32.82,57.31
68,1,45.04,57.58,52.85
68,2,44.29,-14.05,44.84
68,3,54.39,44.96,83.45
68,4,65.97,64.46,55.22
68,5,60.4,7.1,9.23
69,1,55.25,48.09,37.0
69,2,58.71,-11.56,97.04
69,3,42.88,52.37,26.92
69,4,52.76,70.52,7.36
69,5,40.38,11.45,66.55
70,1,96.27,63.09,76.43
70,2,11.24,62.67,78.54
70,3,33.29,105.65,51.82
70,4,35.03,4.85,35.04
70,5,19.39,86.42,23.47
71,1,44.09,57.45,81.07
71,2,0.37,48.2,22.97
71,3,48.3,59.27,36.63
71,4,14.41,65.88,57.83
71,5,77.14,0.94,46.66
72,1,56.38,27.5,36.53
72,2,32.42,67.84,34.27
72,3,58.11,64.18,81.5
72,4,32.94,21.74,57.6
72,5,45.9,142.39,10.05
73,1,26.9,-6.62,55.6
73,2,59.67,37.51,46.45
73,3,77.03,88.48,-13.94
73,4,33.32,49.85,35.09
73,5,17.93,52.73,29.72
74,1,17.41,39.59,68.94
74,2,34.12,68.85,32.31
74,3,71.19,3.79,71.08
74,4,53.25,50.82,-4.37
74,5,34.11,47.44,81.34
75,1,-3.69,5.16,32.26
75,2,22.96,38.9,74.78
